"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"SP","35","3532058","Motuca","4.607","1.863.385","87.131.865","Agricultura, inclusive apoio à agricultura e a pós colheita","2239","3708"
"SP","35","3532108","Murutinga do Sul","4.415","1.338.604","59.608.022","Administração, defesa, educação e saúde públicas e seguridade social","2996","4280"
"SP","35","3532157","Nantes","2.979","4.933.926","150.435.392","Comércio e reparação de veículos automotores e motocicletas","305","2830"
"SP","35","3532207","Narandiba","4.657","4.317.422","204.904.845","Demais serviços","445","2322"
"SP","35","3532306","Natividade da Serra","6.786","1.028.763","69.482.674","Administração, defesa, educação e saúde públicas e seguridade social","3564","4055"
"SP","35","3532405","Nazaré Paulista","17.794","1.846.858","334.669.098","Demais serviços","2263","1616"
"SP","35","3532504","Neves Paulista","9.008","2.441.328","219.695.104","Demais serviços","1529","2206"
"SP","35","3532603","Nhandeara","11.303","2.790.072","318.012.359","Demais serviços","1194","1691"
"SP","35","3532702","Nipoã","4.835","1.749.113","87.350.723","Demais serviços","2376","3704"
"SP","35","3532801","Nova Aliança","6.555","2.829.863","190.534.696","Demais serviços","1166","2442"
"SP","35","3532827","Nova Campina","9.307","2.478.583","235.564.549","Indústrias de transformação","1494","2101"
"SP","35","3532843","Nova Canaã Paulista","2.032","1.851.413","36.620.948","Administração, defesa, educação e saúde públicas e seguridade social","2259","4922"
"SP","35","3532868","Nova Castilho","1.217","3.206.261","39.725.572","Agricultura, inclusive apoio à agricultura e a pós colheita","912","4841"
"SP","35","3532900","Nova Europa","10.439","2.824.709","303.797.465","Indústrias de transformação","1168","1750"
"SP","35","3533007","Nova Granada","20.717","2.179.212","459.181.691","Demais serviços","1841","1298"
"SP","35","3533106","Nova Guataporanga","2.288","121.271","27.940.838","Administração, defesa, educação e saúde públicas e seguridade social","5338","5117"
"SP","35","3533205","Nova Independência","3.588","3.584.259","134.230.516","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","704","3027"
"SP","35","3533304","Nova Luzitânia","3.843","1.176.382","46.502.367","Administração, defesa, educação e saúde públicas e seguridade social","3232","4647"
"SP","35","3533403","Nova Odessa","56.764","5.452.918","3.175.070.712","Demais serviços","224","260"
"SP","35","3533254","Novais","5.313","1.087.043","60.080.863","Administração, defesa, educação e saúde públicas e seguridade social","3412","4269"
"SP","35","3533502","Novo Horizonte","39.543","3.154.098","126.873.607","Demais serviços","953","3114"
"SP","35","3533601","Nuporanga","7.255","7.186.101","527.531.653","Indústrias de transformação","101","1169"
"SP","35","3533700","Ocauçu","4.302","2.892.427","124.605.774","Agricultura, inclusive apoio à agricultura e a pós colheita","1121","3146"
"SP","35","3533809","Óleo","2.628","3.415.449","88.221.057","Agricultura, inclusive apoio à agricultura e a pós colheita","797","3687"
"SP","35","3533908","Olímpia","53.360","3.835.045","2.072.343.328","Demais serviços","596","382"
"SP","35","3534005","Onda Verde","4.209","2.862.132","122.670.985","Demais serviços","1139","3172"
"SP","35","3534104","Oriente","6.421","1.530.262","99.053.876","Demais serviços","2690","3499"
"SP","35","3534203","Orindiúva","6.493","6.508.116","438.061.302","Indústrias de transformação","130","1338"
"SP","35","3534302","Orlândia","42.678","4.113.395","1.781.346.835","Demais serviços","515","434"
"SP","35","3534401","Osasco","694.844","11.163.785","77.910.495.947","Demais serviços","39","5"
"SP","35","3534500","Oscar Bressane","2.615","3.209.375","83.957.241","Agricultura, inclusive apoio à agricultura e a pós colheita","909","3766"
"SP","35","3534609","Osvaldo Cruz","32.475","2.685.649","878.448.973","Demais serviços","1284","781"
"SP","35","3534708","Ourinhos","110.282","2.682.736","2.999.647.799","Demais serviços","1288","280"
