"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"MG","31","3100104","Abadia dos Dourados","7.015","2.195.345","154.969.408","Demais serviços","1821","2779"
"MG","31","3100203","Abaeté","23.535","1.804.421","426.041.738","Demais serviços","2308","1366"
"MG","31","3100302","Abre Campo","13.719","1.345.399","184.763.595","Demais serviços","2986","2492"
"MG","31","3100401","Acaiaca","4.056","953.573","38.762.744","Administração, defesa, educação e saúde públicas e seguridade social","3739","4866"
"MG","31","3100500","Açucena","10.140","970.271","96.998.015","Administração, defesa, educação e saúde públicas e seguridade social","3692","3535"
"MG","31","3100609","Água Boa","14.686","892.952","128.317.164","Administração, defesa, educação e saúde públicas e seguridade social","3913","3100"
"MG","31","3100708","Água Comprida","2.064","6.436.449","132.462.125","Agricultura, inclusive apoio à agricultura e a pós colheita","136","3042"
"MG","31","3100807","Aguanil","4.370","1.347.349","5.982.229","Administração, defesa, educação e saúde públicas e seguridade social","2980","5451"
"MG","31","3100906","Águas Formosas","19.307","1.169.598","227.089.199","Demais serviços","3249","2152"
"MG","31","3101003","Águas Vermelhas","13.447","1.627.076","220.891.905","Administração, defesa, educação e saúde públicas e seguridade social","2554","2196"
"MG","31","3101102","Aimorés","25.694","1.687.778","433.944.569","Demais serviços","2456","1344"
"MG","31","3101201","Aiuruoca","6.240","1.445.494","89.750.701","Demais serviços","2824","3659"
"MG","31","3101300","Alagoa","2.760","1.288.985","35.472.874","Administração, defesa, educação e saúde públicas e seguridade social","3067","4944"
"MG","31","3101409","Albertina","3.033","2.779.671","84.668.789","Comércio e reparação de veículos automotores e motocicletas","1204","3749"
"MG","31","3101508","Além Paraíba","35.720","2.571.191","922.183.385","Demais serviços","1391","747"
"MG","31","3101607","Alfenas","78.712","3.342.298","2.664.045.632","Demais serviços","834","313"
"MG","31","3101631","Alfredo Vasconcelos","6.639","1.242.303","84.166.041","Administração, defesa, educação e saúde públicas e seguridade social","3127","3762"
"MG","31","3101706","Almenara","41.296","1.187.307","496.223.065","Demais serviços","3212","1224"
"MG","31","3101805","Alpercata","7.478","1.048.345","78.783.145","Administração, defesa, educação e saúde públicas e seguridade social","3510","3869"
"MG","31","3101904","Alpinópolis","19.630","1.776.406","352.545.487","Demais serviços","2338","1563"
"MG","31","3102001","Alterosa","14.434","1.503.866","218.827.593","Demais serviços","2731","2216"
"MG","31","3102050","Alto Caparaó","5.702","1.240.581","71.842.069","Administração, defesa, educação e saúde públicas e seguridade social","3131","4014"
"MG","31","3153509","Alto Jequitibá","8.528","1.410.572","12.020.896","Administração, defesa, educação e saúde públicas e seguridade social","2869","5332"
"MG","31","3102100","Alto Rio Doce","11.896","1.386.248","162.094.002","Produção florestal, pesca e aquicultura","2909","2704"
"MG","31","3102209","Alvarenga","4.292","927.967","38.965.335","Administração, defesa, educação e saúde públicas e seguridade social","3806","4859"
"MG","31","3102308","Alvinópolis","15.619","1.801.382","280.997.618","Demais serviços","2313","1853"
"MG","31","3102407","Alvorada de Minas","3.666","1.158.031","42.534.492","Administração, defesa, educação e saúde públicas e seguridade social","3271","4758"
"MG","31","3102506","Amparo do Serra","4.971","935.042","46.041.464","Administração, defesa, educação e saúde públicas e seguridade social","3786","4662"
"MG","31","3102605","Andradas","40.092","2.143.865","872.681.663","Demais serviços","1869","787"
"MG","31","3102803","Andrelândia","12.507","1.749.493","218.809.148","Demais serviços","2375","2217"
"MG","31","3102852","Angelândia","8.460","909.714","77.698.674","Administração, defesa, educação e saúde públicas e seguridade social","3858","3890"
"MG","31","3102902","Antônio Carlos","11.560","1.214.199","140.944.249","Administração, defesa, educação e saúde públicas e seguridade social","3171","2937"
"MG","31","3103009","Antônio Dias","9.685","196.532","189.397.914","Administração, defesa, educação e saúde públicas e seguridade social","5220","2453"
"MG","31","3103108","Antônio Prado de Minas","1.677","1.345.482","22.388.815","Administração, defesa, educação e saúde públicas e seguridade social","2985","5205"
"MG","31","3103207","Araçaí","2.352","2.450.321","58.023.608","Administração, defesa, educação e saúde públicas e seguridade social","1521","4325"
"MG","31","3103306","Aracitaba","2.112","1.060.262","22.382.141","Administração, defesa, educação e saúde públicas e seguridade social","3483","5206"
"MG","31","3103405","Araçuaí","37.270","1.051.082","392.694.896","Demais serviços","3503","1449"
"MG","31","3103504","Araguari","116.267","3.484.091","4.091.891.212","Demais serviços","756","210"
"MG","31","3103603","Arantina","2.880","1.658.784","47.656.875","Administração, defesa, educação e saúde públicas e seguridade social","2510","4611"
"MG","31","3103702","Araponga","8.501","1.047.112","89.465.226","Administração, defesa, educação e saúde públicas e seguridade social","3515","3664"
"MG","31","3103751","Araporã","6.657","17.552.634","1.189.015.416","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","15","609"
"MG","31","3103801","Arapuá","2.875","3.990.374","115.042.491","Indústrias de transformação","550","3272"
"MG","31","3103900","Araújos","8.768","344.754","310.140.724","Agricultura, inclusive apoio à agricultura e a pós colheita","5079","1727"
"MG","31","3104007","Araxá","102.238","492.996","5.141.110.683","Demais serviços","5032","179"
"MG","31","3104106","Arceburgo","10.373","2.530.952","267.724.092","Demais serviços","1431","1919"
"MG","31","3104205","Arcos","39.249","3.088.835","1.229.696.217","Demais serviços","991","597"
"MG","31","3104304","Areado","14.740","1.511.655","226.083.078","Demais serviços","2725","2158"
"MG","31","3104403","Argirita","2.890","1.125.131","32.167.487","Administração, defesa, educação e saúde públicas e seguridade social","3323","5038"
"MG","31","3104452","Aricanduva","5.118","846.657","43.958.428","Administração, defesa, educação e saúde públicas e seguridade social","4092","4718"
"MG","31","3104502","Arinos","18.221","1.126.049","205.425.107","Administração, defesa, educação e saúde públicas e seguridade social","3322","2315"
"MG","31","3104601","Astolfo Dutra","13.937","2.124.844","299.985.475","Indústrias de transformação","1894","1772"
"MG","31","3104700","Ataléia","14.039","957.763","131.807.387","Administração, defesa, educação e saúde públicas e seguridade social","3727","3054"
"MG","31","3104809","Augusto de Lima","5.041","1.285.416","6.456.647","Administração, defesa, educação e saúde públicas e seguridade social","3076","5438"
"MG","31","3104908","Baependi","19.186","1.360.287","262.739.371","Demais serviços","2952","1948"
"MG","31","3105004","Baldim","8.071","1.336.977","107.640.022","Administração, defesa, educação e saúde públicas e seguridade social","3000","3368"
"MG","31","3105103","Bambuí","23.850","2.198.259","527.977.852","Demais serviços","1816","1168"
"MG","31","3105202","Bandeira","5.019","890.734","44.394.202","Administração, defesa, educação e saúde públicas e seguridade social","3920","4703"
"MG","31","3105301","Bandeira do Sul","5.674","1.114.178","63.942.683","Administração, defesa, educação e saúde públicas e seguridade social","3347","4180"
"MG","31","3105400","Barão de Cocais","31.270","2.274.752","727.192.658","Demais serviços","1719","905"
"MG","31","3105509","Barão de Monte Alto","5.706","86.974","49.122.941","Administração, defesa, educação e saúde públicas e seguridade social","5418","4549"
"MG","31","3105608","Barbacena","134.924","1.963.186","2.683.459.069","Demais serviços","2105","311"
"MG","31","3105707","Barra Longa","5.799","1.238.161","69.634.168","Administração, defesa, educação e saúde públicas e seguridade social","3139","4051"
"MG","31","3105905","Barroso","20.693","1.844.604","385.190.232","Demais serviços","2265","1467"
"MG","31","3106002","Bela Vista de Minas","10.381","2.097.784","218.505.165","Indústrias extrativas","1940","2221"
"MG","31","3106101","Belmiro Braga","3.501","1.380.615","48.362.949","Administração, defesa, educação e saúde públicas e seguridade social","2916","4588"
"MG","31","3106200","Belo Horizonte","2.502.557","3.524.502","88.951.167.805","Demais serviços","737","4"
"MG","31","3106309","Belo Oriente","25.619","7.897.191","2.065.747.186","Indústrias de transformação","80","383"
"MG","31","3106408","Belo Vale","7.816","1.866.947","14.638.735","Administração, defesa, educação e saúde públicas e seguridade social","2236","5301"
"MG","31","3106507","Berilo","12.431","757.698","93.651.454","Administração, defesa, educação e saúde públicas e seguridade social","4424","3587"
"MG","31","3106655","Berizal","4.661","849.868","40.113.761","Administração, defesa, educação e saúde públicas e seguridade social","4080","4826"
"MG","31","3106606","Bertópolis","4.664","792.608","37.078.191","Administração, defesa, educação e saúde públicas e seguridade social","4281","4910"
"MG","31","3106705","Betim","417.307","5.405.213","23.088.152.506","Indústrias de transformação","229","31"
"MG","31","3106804","Bias Fortes","3.685","874.292","31.588.164","Administração, defesa, educação e saúde públicas e seguridade social","3977","5055"
"MG","31","3106903","Bicas","14.413","1.697.373","246.882.862","Demais serviços","2444","2036"
"MG","31","3107000","Biquinhas","2.640","1.529.115","40.047.517","Administração, defesa, educação e saúde públicas e seguridade social","2694","4827"
"MG","31","3107109","Boa Esperança","40.287","2.055.541","833.110.819","Demais serviços","1986","825"
"MG","31","3107208","Bocaina de Minas","5.174","1.064.207","55.179.114","Administração, defesa, educação e saúde públicas e seguridade social","3475","4386"
"MG","31","3107307","Bocaiúva","49.600","158.913","797.234.918","Demais serviços","5271","853"
"MG","31","3107406","Bom Despacho","49.236","2.420.987","1.211.510.314","Demais serviços","1551","603"
"MG","31","3107505","Bom Jardim de Minas","6.653","1.824.087","121.192.356","Produção florestal, pesca e aquicultura","2289","3188"
"MG","31","3107604","Bom Jesus da Penha","4.150","2.931.555","123.213.257","Agricultura, inclusive apoio à agricultura e a pós colheita","1094","3161"
"MG","31","3107703","Bom Jesus do Amparo","5.923","1.258.133","75.714.472","Demais serviços","3107","3941"
"MG","31","3107802","Bom Jesus do Galho","15.542","904.014","13.975.147","Administração, defesa, educação e saúde públicas e seguridade social","3878","5309"
"MG","31","3107901","Bom Repouso","10.767","1.097.986","118.307.972","Administração, defesa, educação e saúde públicas e seguridade social","3382","3232"
"MG","31","3108008","Bom Sucesso","17.858","1.706.703","305.619.232","Demais serviços","2432","1744"
"MG","31","3108107","Bonfim","7.016","1.225.023","85.996.644","Demais serviços","3156","3726"
"MG","31","3108206","Bonfinópolis de Minas","5.831","3.494.636","201.430.825","Agricultura, inclusive apoio à agricultura e a pós colheita","749","2345"
"MG","31","3108255","Bonito de Minas","10.669","676.187","7.404.928","Administração, defesa, educação e saúde públicas e seguridade social","4736","5418"
"MG","31","3108305","Borda da Mata","18.682","1.617.523","308.218.963","Demais serviços","2566","1736"
"MG","31","3108404","Botelhos","15.324","1.530.352","234.480.502","Demais serviços","2689","2104"
"MG","31","3108503","Botumirim","6.574","739.167","48.341.492","Administração, defesa, educação e saúde públicas e seguridade social","4506","4590"
"MG","31","3108701","Brás Pires","4.604","79.118","35.998.697","Administração, defesa, educação e saúde públicas e seguridade social","5442","4937"
"MG","31","3108552","Brasilândia de Minas","15.727","1.361.232","219.226.406","Administração, defesa, educação e saúde públicas e seguridade social","2951","2210"
"MG","31","3108602","Brasília de Minas","32.564","923.136","302.160.754","Administração, defesa, educação e saúde públicas e seguridade social","3817","1761"
"MG","31","3108909","Brasópolis","14.934","1.116.262","166.200.177","Administração, defesa, educação e saúde públicas e seguridade social","3339","2668"
"MG","31","3108800","Braúnas","5.045","1.855.537","92.832.507","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","2251","3606"
"MG","31","3109006","Brumadinho","37.857","5.116.441","1.988.402.594","Indústrias extrativas","271","396"
"MG","31","3109105","Bueno Brandão","11.223","1.226.635","13.778.789","Demais serviços","3152","5310"
"MG","31","3109204","Buenópolis","10.589","1.088.137","115.277.267","Administração, defesa, educação e saúde públicas e seguridade social","3409","3268"
"MG","31","3109253","Bugre","4.134","1.115.752","46.259.091","Administração, defesa, educação e saúde públicas e seguridade social","3342","4656"
"MG","31","3109303","Buritis","24.351","2.839.007","700.922.364","Agricultura, inclusive apoio à agricultura e a pós colheita","1158","937"
"MG","31","3109402","Buritizeiro","28.163","1.482.276","420.002.928","Administração, defesa, educação e saúde públicas e seguridade social","2771","1379"
"MG","31","3109451","Cabeceira Grande","6.861","2.626.047","182.247.642","Agricultura, inclusive apoio à agricultura e a pós colheita","1336","2522"
"MG","31","3109501","Cabo Verde","14.298","1.607.003","23.028.357","Demais serviços","2582","5194"
"MG","31","3109600","Cachoeira da Prata","3.721","1.036.002","38.435.661","Administração, defesa, educação e saúde públicas e seguridade social","3546","4878"
"MG","31","3109709","Cachoeira de Minas","11.567","1.705.127","198.579.124","Demais serviços","2435","2363"
"MG","31","3102704","Cachoeira de Pajeú","9.410","926.324","87.806.271","Administração, defesa, educação e saúde públicas e seguridade social","3813","3694"
"MG","31","3109808","Cachoeira Dourada","2.661","2.787.475","75.010.943","Administração, defesa, educação e saúde públicas e seguridade social","1196","3954"
"MG","31","3109907","Caetanópolis","11.170","2.216.857","252.699.566","Demais serviços","1796","2009"
"MG","31","3110004","Caeté","43.739","1.302.184","577.870.277","Demais serviços","3042","1097"
"MG","31","3110103","Caiana","5.354","1.090.737","59.336.115","Administração, defesa, educação e saúde públicas e seguridade social","3405","4290"
"MG","31","3110202","Cajuri","4.121","1.658.788","68.143.031","Administração, defesa, educação e saúde públicas e seguridade social","2509","4096"
"MG","31","3110301","Caldas","14.396","1.572.395","228.453.262","Demais serviços","2633","2145"
"MG","31","3110400","Camacho","3.109","1.322.029","40.506.975","Administração, defesa, educação e saúde públicas e seguridade social","3016","4816"
"MG","31","3110509","Camanducaia","21.955","2.746.915","605.887.028","Demais serviços","1229","1064"
"MG","31","3110608","Cambuí","28.669","4.622.269","1.348.084.656","Indústrias de transformação","362","559"
"MG","31","3110707","Cambuquira","13.026","1.721.496","22.470.681","Agricultura, inclusive apoio à agricultura e a pós colheita","2411","5202"
"MG","31","3110806","Campanário","3.733","1.031.358","38.748.112","Administração, defesa, educação e saúde públicas e seguridade social","3553","4867"
"MG","31","3110905","Campanha","16.431","1.828.522","304.028.417","Demais serviços","2282","1748"
"MG","31","3111002","Campestre","21.392","1.635.087","350.562.757","Demais serviços","2539","1569"
"MG","31","3111101","Campina Verde","20.022","2.532.811","508.563.168","Demais serviços","1426","1199"
"MG","31","3111150","Campo Azul","3.843","853.345","32.964.701","Administração, defesa, educação e saúde públicas e seguridade social","4058","5015"
"MG","31","3111200","Campo Belo","54.076","1.806.657","983.869.024","Demais serviços","2303","707"
"MG","31","3111309","Campo do Meio","11.856","1.448.401","172.041.073","Administração, defesa, educação e saúde públicas e seguridade social","2820","2612"
"MG","31","3111408","Campo Florido","7.675","6.412.405","505.682.267","Agricultura, inclusive apoio à agricultura e a pós colheita","137","1204"
"MG","31","3111507","Campos Altos","15.186","2.114.786","32.540.208","Agricultura, inclusive apoio à agricultura e a pós colheita","1909","5028"
"MG","31","3111606","Campos Gerais","28.879","1.644.029","477.705.375","Demais serviços","2525","1260"
"MG","31","3111903","Cana Verde","5.737","1.097.771","62.957.172","Administração, defesa, educação e saúde públicas e seguridade social","3383","4204"
"MG","31","3111705","Canaã","4.713","142.775","67.089.983","Administração, defesa, educação e saúde públicas e seguridade social","5298","4117"
"MG","31","3111804","Canápolis","12.005","2.861.462","34.672.335","Demais serviços","1140","4970"
"MG","31","3112000","Candeias","15.108","1.722.735","260.942.655","Demais serviços","2408","1958"
"MG","31","3112059","Cantagalo","4.464","998.309","45.093.636","Administração, defesa, educação e saúde públicas e seguridade social","3624","4681"
"MG","31","3112109","Caparaó","5.454","1.307.093","7.174.635","Administração, defesa, educação e saúde públicas e seguridade social","3033","5423"
"MG","31","3112208","Capela Nova","4.825","1.010.706","48.564.413","Administração, defesa, educação e saúde públicas e seguridade social","3594","4573"
"MG","31","3112307","Capelinha","37.330","1.600.048","605.890.186","Demais serviços","2593","1063"
"MG","31","3112406","Capetinga","7.185","1.651.706","11.812.999","Agricultura, inclusive apoio à agricultura e a pós colheita","2518","5333"
"MG","31","3112505","Capim Branco","9.537","890.197","86.153.298","Administração, defesa, educação e saúde públicas e seguridade social","3923","3722"
"MG","31","3112604","Capinópolis","16.112","2.354.648","382.630.318","Demais serviços","1617","1473"
"MG","31","3112653","Capitão Andrade","5.317","81.387","43.989.664","Administração, defesa, educação e saúde públicas e seguridade social","5430","4714"
"MG","31","3112703","Capitão Enéas","15.074","1.668.032","254.158.081","Indústrias de transformação","2493","2000"
"MG","31","3112802","Capitólio","8.612","2.395.775","208.001.145","Demais serviços","1577","2295"
"MG","31","3112901","Caputira","9.392","790.349","74.537.816","Administração, defesa, educação e saúde públicas e seguridade social","4286","3959"
"MG","31","3113008","Caraí","23.571","640.449","152.305.062","Administração, defesa, educação e saúde públicas e seguridade social","4851","2807"
"MG","31","3113107","Caranaíba","3.319","950.837","31.368.099","Administração, defesa, educação e saúde públicas e seguridade social","3746","5061"
"MG","31","3113206","Carandaí","25.044","196.654","49.902.914","Demais serviços","5219","4516"
"MG","31","3113305","Carangola","33.463","1.539.125","51.651.509","Demais serviços","2676","4469"
"MG","31","3113404","Caratinga","90.782","1.751.607","1.608.693.255","Demais serviços","2370","482"
"MG","31","3113503","Carbonita","9.507","1.344.758","128.343.679","Administração, defesa, educação e saúde públicas e seguridade social","2988","3098"
"MG","31","3113602","Careaçu","6.684","2.202.761","148.840.543","Comércio e reparação de veículos automotores e motocicletas","1812","2845"
"MG","31","3113701","Carlos Chagas","19.971","1.620.419","320.032.676","Demais serviços","2562","1680"
"MG","31","3113800","Carmésia","2.600","1.058.224","27.820.697","Administração, defesa, educação e saúde públicas e seguridade social","3487","5122"
"MG","31","3113909","Carmo da Cachoeira","12.302","1.813.252","223.936.567","Agricultura, inclusive apoio à agricultura e a pós colheita","2299","2176"
"MG","31","3114006","Carmo da Mata","11.475","1.465.308","169.374.921","Demais serviços","2794","2635"
"MG","31","3114105","Carmo de Minas","14.645","1.245.955","184.675.431","Administração, defesa, educação e saúde públicas e seguridade social","3122","2496"
"MG","31","3114204","Carmo do Cajuru","21.735","1.889.904","4.183.491","Demais serviços","2200","5504"
"MG","31","3114303","Carmo do Paranaíba","30.782","238.936","737.380.245","Demais serviços","5160","899"
"MG","31","3114402","Carmo do Rio Claro","21.338","2.103.102","451.283.578","Demais serviços","1927","1314"
"MG","31","3114501","Carmópolis de Minas","18.619","1.924.097","365.482.243","Demais serviços","2150","1523"
"MG","31","3114550","Carneirinho","9.985","3.162.056","318.482.313","Demais serviços","946","1688"
"MG","31","3114600","Carrancas","4.096","1.910.685","7.852.916","Administração, defesa, educação e saúde públicas e seguridade social","2167","5405"
"MG","31","3114709","Carvalhópolis","3.544","1.418.804","5.080.736","Administração, defesa, educação e saúde públicas e seguridade social","2857","5480"
"MG","31","3114808","Carvalhos","4.633","1.200.522","55.428.123","Administração, defesa, educação e saúde públicas e seguridade social","3185","4379"
"MG","31","3114907","Casa Grande","2.308","2.622.359","60.550.259","Produção florestal, pesca e aquicultura","1341","4261"
"MG","31","3115003","Cascalho Rico","3.037","1.557.619","47.834.474","Administração, defesa, educação e saúde públicas e seguridade social","2660","4602"
"MG","31","3115102","Cássia","18.014","175.989","317.783.402","Demais serviços","5247","1692"
"MG","31","3115300","Cataguases","74.171","2.105.958","157.999.476","Demais serviços","1918","2748"
"MG","31","3115359","Catas Altas","5.230","11.473.885","609.951.742","Indústrias extrativas","34","1056"
"MG","31","3115409","Catas Altas da Noruega","3.638","974.747","3.573.422","Administração, defesa, educação e saúde públicas e seguridade social","3683","5519"
"MG","31","3115458","Catuji","6.683","952.447","62.975.787","Administração, defesa, educação e saúde públicas e seguridade social","3743","4203"
"MG","31","3115474","Catuti","5.174","766.761","39.495.883","Administração, defesa, educação e saúde públicas e seguridade social","4381","4845"
"MG","31","3115508","Caxambu","22.231","1.482.633","329.263.182","Demais serviços","2769","1641"
"MG","31","3115607","Cedro do Abaeté","1.218","1.446.313","17.485.926","Administração, defesa, educação e saúde públicas e seguridade social","2822","5274"
"MG","31","3115706","Central de Minas","7.072","1.095.137","77.886.151","Administração, defesa, educação e saúde públicas e seguridade social","3392","3884"
"MG","31","3115805","Centralina","10.604","2.555.187","271.412.009","Agricultura, inclusive apoio à agricultura e a pós colheita","1411","1896"
"MG","31","3115904","Chácara","3.042","1.173.825","36.400.322","Administração, defesa, educação e saúde públicas e seguridade social","3239","4931"
"MG","31","3116001","Chalé","5.817","1.176.223","68.491.467","Administração, defesa, educação e saúde públicas e seguridade social","3234","4084"
"MG","31","3116100","Chapada do Norte","15.657","609.309","95.509.218","Administração, defesa, educação e saúde públicas e seguridade social","4918","3555"
"MG","31","3116159","Chapada Gaúcha","12.495","14.072","182.527.958","Administração, defesa, educação e saúde públicas e seguridade social","5550","2518"
"MG","31","3116209","Chiador","2.807","1.069.802","29.836.766","Administração, defesa, educação e saúde públicas e seguridade social","3464","5091"
"MG","31","3116308","Cipotânea","6.832","701.205","48.158.754","Administração, defesa, educação e saúde públicas e seguridade social","4651","4596"
"MG","31","3116407","Claraval","4.801","2.529.901","122.624.323","Indústrias de transformação","1435","3174"
"MG","31","3116506","Claro dos Poções","7.862","800.511","62.591.988","Administração, defesa, educação e saúde públicas e seguridade social","4246","4211"
"MG","31","3116605","Cláudio","27.827","2.320.776","656.477.873","Demais serviços","1662","991"
"MG","31","3116704","Coimbra","7.480","1.428.019","107.943.955","Administração, defesa, educação e saúde públicas e seguridade social","2844","3365"
"MG","31","3116803","Coluna","9.178","933.678","85.394.198","Administração, defesa, educação e saúde públicas e seguridade social","3790","3741"
"MG","31","3116902","Comendador Gomes","3.116","3.548.155","111.341.116","Agricultura, inclusive apoio à agricultura e a pós colheita","721","3313"
"MG","31","3117009","Comercinho","7.835","710.152","5.396.446","Administração, defesa, educação e saúde públicas e seguridade social","4620","5470"
"MG","31","3117108","Conceição da Aparecida","10.302","1.960.472","203.379.351","Agricultura, inclusive apoio à agricultura e a pós colheita","2111","2329"
"MG","31","3115201","Conceição da Barra de Minas","4.053","1.055.967","42.766.649","Administração, defesa, educação e saúde públicas e seguridade social","3492","4754"
"MG","31","3117306","Conceição das Alagoas","26.018","3.147.294","844.041.279","Agricultura, inclusive apoio à agricultura e a pós colheita","957","809"
"MG","31","3117207","Conceição das Pedras","2.849","1.302.831","37.234.916","Administração, defesa, educação e saúde públicas e seguridade social","3039","4907"
"MG","31","3117405","Conceição de Ipanema","4.627","1.072.792","49.820.452","Administração, defesa, educação e saúde públicas e seguridade social","3458","4517"
"MG","31","3117504","Conceição do Mato Dentro","18.198","4.474.228","810.998.613","Indústrias extrativas","411","842"
"MG","31","3117603","Conceição do Pará","5.460","4.871.131","26.864.286","Indústrias extrativas","317","5139"
"MG","31","3117702","Conceição do Rio Verde","13.617","1.513.808","207.755.025","Demais serviços","2722","2297"
"MG","31","3117801","Conceição dos Ouros","11.262","1.626.511","186.511.991","Demais serviços","2555","2469"
"MG","31","3117836","Cônego Marinho","7.564","667.074","50.857.733","Administração, defesa, educação e saúde públicas e seguridade social","4768","4490"
"MG","31","3117876","Confins","6.478","160.153","1.058.291.044","Demais serviços","5269","668"
"MG","31","3117900","Congonhal","11.464","157.764","184.678.548","Demais serviços","5273","2495"
"MG","31","3118007","Congonhas","52.827","3.057.359","1.646.173.882","Demais serviços","1009","466"
"MG","31","3118106","Congonhas do Norte","5.118","758.904","38.962.148","Administração, defesa, educação e saúde públicas e seguridade social","4421","4860"
"MG","31","3118205","Conquista","6.895","6.287.641","437.619.807","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","144","1339"
"MG","31","3118304","Conselheiro Lafaiete","125.421","1.669.148","2.125.977.232","Demais serviços","2491","377"
"MG","31","3118403","Conselheiro Pena","23.141","1.292.261","300.321.365","Demais serviços","3064","1767"
"MG","31","3118502","Consolação","1.804","1.351.348","24.459.399","Administração, defesa, educação e saúde públicas e seguridade social","2971","5180"
"MG","31","3118601","Contagem","648.766","4.401.599","28.988.053.323","Demais serviços","425","25"
"MG","31","3118700","Coqueiral","9.461","1.577.113","148.753.273","Demais serviços","2626","2846"
"MG","31","3118809","Coração de Jesus","26.974","739.863","200.147.756","Administração, defesa, educação e saúde públicas e seguridade social","4505","2358"
"MG","31","3118908","Cordisburgo","8.998","1.027.162","92.742.429","Administração, defesa, educação e saúde públicas e seguridade social","3568","3608"
"MG","31","3119005","Cordislândia","3.573","1.648.933","59.147.244","Administração, defesa, educação e saúde públicas e seguridade social","2520","4295"
"MG","31","3119104","Corinto","24.432","1.299.154","316.785.685","Demais serviços","3047","1698"
"MG","31","3119203","Coroaci","10.393","895.536","92.589.475","Administração, defesa, educação e saúde públicas e seguridade social","3902","3611"
"MG","31","3119302","Coromandel","28.456","3.105.036","885.183.654","Demais serviços","981","779"
"MG","31","3119401","Coronel Fabriciano","109.363","1.494.292","1.648.592.879","Demais serviços","2746","465"
"MG","31","3119500","Coronel Murta","9.400","851.823","80.165.086","Administração, defesa, educação e saúde públicas e seguridade social","4066","3847"
"MG","31","3119609","Coronel Pacheco","3.110","135.087","42.214.697","Administração, defesa, educação e saúde públicas e seguridade social","5312","4770"
"MG","31","3119708","Coronel Xavier Chaves","3.451","1.359.584","4.719.117","Administração, defesa, educação e saúde públicas e seguridade social","2954","5489"
"MG","31","3119807","Córrego Danta","3.391","3.190.994","107.185.499","Demais serviços","920","3378"
"MG","31","3119906","Córrego do Bom Jesus","3.811","871.147","33.138.425","Administração, defesa, educação e saúde públicas e seguridade social","3993","5008"
"MG","31","3119955","Córrego Fundo","6.207","290.913","183.129.755","Demais serviços","5112","2510"
"MG","31","3120003","Córrego Novo","3.032","1.074.306","3.190.689","Administração, defesa, educação e saúde públicas e seguridade social","3451","5526"
"MG","31","3120102","Couto de Magalhães de Minas","4.412","947.658","4.211.394","Administração, defesa, educação e saúde públicas e seguridade social","3753","5502"
"MG","31","3120151","Crisólita","6.525","833.531","55.271.433","Administração, defesa, educação e saúde públicas e seguridade social","4131","4382"
"MG","31","3120201","Cristais","12.317","1.551.063","194.875.514","Administração, defesa, educação e saúde públicas e seguridade social","2664","2395"
"MG","31","3120300","Cristália","6.010","718.323","434.011","Administração, defesa, educação e saúde públicas e seguridade social","4588","5563"
"MG","31","3120409","Cristiano Otoni","5.204","1.475.595","77.099.828","Administração, defesa, educação e saúde públicas e seguridade social","2778","3912"
"MG","31","3120508","Cristina","10.484","1.733.057","181.659.029","Demais serviços","2393","2526"
"MG","31","3120607","Crucilândia","5.014","106.313","53.762.497","Administração, defesa, educação e saúde públicas e seguridade social","5366","4417"
"MG","31","3120706","Cruzeiro da Fortaleza","4.140","2.225.802","92.904.986","Pecuária, inclusive apoio à pecuária","1783","3602"
"MG","31","3120805","Cruzília","15.369","1.421.928","220.356.157","Demais serviços","2855","2203"
"MG","31","3120839","Cuparaque","4.947","1.028.042","51.350.709","Administração, defesa, educação e saúde públicas e seguridade social","3566","4482"
"MG","31","3120870","Curral de Dentro","7.491","750.816","57.234.703","Administração, defesa, educação e saúde públicas e seguridade social","4450","4345"
"MG","31","3120904","Curvelo","78.900","1.853.468","1.480.513.112","Demais serviços","2253","518"
"MG","31","3121001","Datas","5.441","870.836","47.643.464","Administração, defesa, educação e saúde públicas e seguridade social","3994","4613"
"MG","31","3121100","Delfim Moreira","8.201","11.595","95.137.016","Administração, defesa, educação e saúde públicas e seguridade social","5556","3563"
"MG","31","3121209","Delfinópolis","7.143","2.256.859","162.177.863","Agricultura, inclusive apoio à agricultura e a pós colheita","1739","2703"
"MG","31","3121258","Delta","9.499","349.471","346.116.029","Indústrias de transformação","5074","1579"
"MG","31","3121308","Descoberto","5.010","1.443.004","72.828.404","Administração, defesa, educação e saúde públicas e seguridade social","2828","3992"
"MG","31","3121407","Desterro de Entre Rios","7.298","1.619.058","1.187.417","Indústrias extrativas","2565","5548"
"MG","31","3121506","Desterro do Melo","3.036","1.155.062","34.825.119","Administração, defesa, educação e saúde públicas e seguridade social","3274","4964"
"MG","31","3121605","Diamantina","47.952","1.504.626","725.681.283","Demais serviços","2730","906"
"MG","31","3121704","Diogo de Vasconcelos","3.923","789.621","30.897.867","Administração, defesa, educação e saúde públicas e seguridade social","4288","5075"
